year,month,day,AQI
2013,7,23,3
2013,7,24,1
2013,7,25,2
2013,7,26,2
2013,7,27,3
2013,7,28,1
2013,7,29,2
2013,7,30,3
2013,7,31,1
2013,8,1,1
2013,8,2,2
2013,8,3,1
2013,8,4,2
2013,8,5,2
2013,8,6,4
2013,8,7,1
2013,8,8,1
2013,8,9,1
2013,8,10,3
2013,8,11,4
2013,8,12,2
2013,8,13,3
2013,8,14,3
2013,8,15,4
2013,8,16,4
2013,8,17,2
2013,8,18,1
2013,8,19,1
2013,8,20,3
2013,8,21,3
2013,8,22,3
2013,8,23,2
2013,8,24,1
2013,8,25,2
2013,8,26,2
2013,8,27,2
2013,8,28,2
2013,8,29,1
2013,8,30,1
2013,8,31,1
2013,9,1,2
2013,9,2,2
2013,9,3,3
2013,9,4,2
2013,9,5,1
2013,9,6,2
2013,9,7,2
2013,9,8,2
2013,9,9,2
2013,9,10,2
2013,9,11,2
2013,9,12,4
2013,9,13,2
2013,9,14,1
2013,9,15,2
2013,9,16,2
2013,9,17,3
2013,9,18,3
2013,9,19,3
2013,9,20,1
2013,9,21,2
2013,9,22,3
2013,9,23,2
2013,9,24,2
2013,9,25,1
2013,9,26,2
2013,9,27,4
2013,9,28,6
2013,9,29,5
2013,9,30,4
2013,10,1,2
2013,10,2,1
2013,10,3,2
2013,10,4,4
2013,10,5,6
2013,10,6,5
2013,10,7,2
2013,10,8,2
2013,10,9,4
2013,10,10,2
2013,10,11,2
2013,10,12,2
2013,10,13,2
2013,10,14,1
2013,10,15,1
2013,10,16,2
2013,10,17,4
2013,10,18,5
2013,10,19,2
2013,10,20,2
2013,10,21,2
2013,10,22,4
2013,10,23,2
2013,10,24,1
2013,10,25,2
2013,10,26,2
2013,10,27,4
2013,10,28,5
2013,10,29,1
2013,10,30,2
2013,10,31,4
2013,11,1,5
2013,11,2,5
2013,11,3,2
2013,11,4,2
2013,11,5,3
2013,11,6,3
2013,11,7,2
2013,11,8,3
2013,11,9,3
2013,11,10,1
2013,11,11,1
2013,11,12,2
2013,11,13,4
2013,11,14,2
2013,11,15,3
2013,11,16,2
2013,11,17,1
2013,11,18,1
2013,11,19,1
2013,11,20,2
2013,11,21,2
2013,11,22,4
2013,11,23,3
2013,11,24,2
2013,11,25,1
2013,11,26,1
2013,11,27,1
2013,11,28,1
2013,11,29,1
2013,11,30,1
2013,12,1,2
2013,12,2,5
2013,12,3,2
2013,12,4,2
2013,12,5,1
2013,12,6,3
2013,12,7,5
2013,12,8,4
2013,12,9,1
2013,12,10,2
2013,12,11,1
2013,12,12,1
2013,12,13,2
2013,12,14,2
2013,12,15,2
2013,12,16,3
2013,12,17,2
2013,12,18,1
2013,12,19,2
2013,12,20,2
2013,12,21,2
2013,12,22,3
2013,12,23,4
2013,12,24,4
2013,12,25,5
2013,12,26,1
2013,12,27,1
2013,12,28,1
2013,12,29,2
2013,12,30,2
2013,12,31,3
2014,1,1,2
2014,1,2,4
2014,1,3,2
2014,1,4,3
2014,1,5,2
2014,1,6,5
2014,1,7,3
2014,1,8,1
2014,1,9,1
2014,1,10,2
2014,1,11,3
2014,1,12,1
2014,1,13,2
2014,1,14,2
2014,1,15,4
2014,1,16,6
2014,1,17,4
2014,1,18,2
2014,1,19,3
2014,1,20,1
2014,1,21,1
2014,1,22,3
2014,1,23,5
2014,1,24,5
2014,1,25,1
2014,1,26,2
2014,1,27,3
2014,1,28,2
2014,1,29,3
2014,1,30,2
2014,1,31,4
2014,2,1,4
2014,2,2,2
2014,2,3,1
2014,2,4,1
2014,2,5,3
2014,2,6,4
2014,2,7,3
2014,2,8,2
2014,2,9,1
2014,2,10,2
2014,2,11,3
2014,2,12,3
2014,2,13,5
2014,2,14,5
2014,2,15,6
2014,2,16,6
2014,2,17,4
2014,2,18,3
2014,2,19,2
2014,2,20,5
2014,2,21,6
2014,2,22,6
2014,2,23,5
2014,2,24,5
2014,2,25,6
2014,2,26,6
2014,2,27,1
2014,2,28,3
2014,3,1,2
2014,3,2,4
2014,3,3,5
2014,3,4,2
2014,3,5,1
2014,3,6,1
2014,3,7,2
2014,3,8,3
2014,3,9,3
2014,3,10,3
2014,3,11,4
2014,3,12,2
2014,3,13,2
2014,3,14,2
2014,3,15,3
2014,3,16,3
2014,3,17,3
2014,3,18,2
2014,3,19,2
2014,3,20,1
2014,3,21,2
2014,3,22,2
2014,3,23,4
2014,3,24,5
2014,3,25,5
2014,3,26,5
2014,3,27,6
2014,3,28,3
2014,3,29,1
2014,3,30,1
2014,3,31,3
2014,4,1,3
2014,4,2,3
2014,4,3,2
2014,4,4,2
2014,4,5,2
2014,4,6,2
2014,4,7,4
2014,4,8,5
2014,4,9,5
2014,4,10,5
2014,4,11,2
2014,4,12,3
2014,4,13,5
2014,4,14,5
2014,4,15,4
2014,4,16,3
2014,4,17,3
2014,4,18,5
2014,4,19,3
2014,4,20,2
2014,4,21,2
2014,4,22,2
2014,4,23,3
2014,4,24,4
2014,4,25,5
2014,4,26,4
2014,4,27,
2014,4,28,
2014,4,29,3
2014,4,30,3
2014,5,1,3
2014,5,2,1
2014,5,3,2
2014,5,4,2
2014,5,5,1
2014,5,6,2
2014,5,7,2
2014,5,8,2
2014,5,9,2
2014,5,10,2
2014,5,11,1
2014,5,12,2
2014,5,13,2
2014,5,14,2
2014,5,15,3
2014,5,16,2
2014,5,17,2
2014,5,18,2
2014,5,19,3
2014,5,20,2
2014,5,21,3
2014,5,22,4
2014,5,23,3
2014,5,24,2
2014,5,25,2
2014,5,26,2
2014,5,27,2
2014,5,28,2
2014,5,29,2
2014,5,30,2
2014,5,31,3
2014,6,1,2
2014,6,2,1
2014,6,3,1
2014,6,4,2
2014,6,5,2
2014,6,6,2
2014,6,7,1
2014,6,8,1
2014,6,9,1
2014,6,10,2
2014,6,11,2
2014,6,12,1
2014,6,13,2
2014,6,14,1
2014,6,15,3
2014,6,16,3
2014,6,17,2
2014,6,18,2
2014,6,19,3
2014,6,20,2
2014,6,21,2
2014,6,22,1
2014,6,23,1
2014,6,24,2
2014,6,25,3
2014,6,26,3
2014,6,27,1
2014,6,28,1
2014,6,29,2
2014,6,30,2
2014,7,1,3
2014,7,2,2
2014,7,3,5
2014,7,4,5
2014,7,5,4
2014,7,6,5
2014,7,7,5
2014,7,8,3
2014,7,9,1
2014,7,10,2
2014,7,11,1
2014,7,12,1
2014,7,13,1
2014,7,14,1
2014,7,15,2
2014,7,16,3
2014,7,17,4
2014,7,18,5
2014,7,19,3
2014,7,20,2
2014,7,21,1
2014,7,22,1
2014,7,23,1
2014,7,24,2
2014,7,25,2
2014,7,26,2
2014,7,27,2
2014,7,28,3
2014,7,29,3
2014,7,30,3
2014,7,31,5
2014,8,1,5
2014,8,2,4
2014,8,3,3
2014,8,4,1
2014,8,5,1
2014,8,6,1
2014,8,7,2
2014,8,8,2
2014,8,9,3
2014,8,10,1
2014,8,11,1
2014,8,12,1
2014,8,13,1
2014,8,14,1
2014,8,15,1
2014,8,16,2
2014,8,17,2
2014,8,18,2
2014,8,19,3
2014,8,20,3
2014,8,21,4
2014,8,22,2
2014,8,23,2
2014,8,24,1
2014,8,25,1
2014,8,26,2
2014,8,27,2
2014,8,28,2
2014,8,29,2
2014,8,30,4
2014,8,31,1
2014,9,1,3
2014,9,2,1
2014,9,3,1
2014,9,4,2
2014,9,5,3
2014,9,6,4
2014,9,7,5
2014,9,8,1
2014,9,9,2
2014,9,10,2
2014,9,11,2
2014,9,12,3
2014,9,13,3
2014,9,14,1
2014,9,15,1
2014,9,16,2
2014,9,17,3
2014,9,18,2
2014,9,19,2
2014,9,20,3
2014,9,21,3
2014,9,22,3
2014,9,23,1
2014,9,24,1
2014,9,25,3
2014,9,26,3
2014,9,27,1
2014,9,28,2
2014,9,29,2
2014,9,30,1
2014,10,1,2
2014,10,2,2
2014,10,3,2
2014,10,4,3
2014,10,5,1
2014,10,6,1
2014,10,7,3
2014,10,8,5
2014,10,9,6
2014,10,10,6
2014,10,11,5
2014,10,12,1
2014,10,13,1
2014,10,14,2
2014,10,15,2
2014,10,16,2
2014,10,17,3
2014,10,18,3
2014,10,19,6
2014,10,20,6
2014,10,21,2
2014,10,22,2
2014,10,23,4
2014,10,24,5
2014,10,25,6
2014,10,26,2
2014,10,27,2
2014,10,28,2
2014,10,29,3
2014,10,30,5
2014,10,31,4
2014,11,1,1
2014,11,2,1
2014,11,3,1
2014,11,4,3
2014,11,5,2
2014,11,6,1
2014,11,7,2
2014,11,8,2
2014,11,9,2
2014,11,10,2
2014,11,11,2
2014,11,12,1
2014,11,13,1
2014,11,14,2
2014,11,15,3
2014,11,16,2
2014,11,17,1
2014,11,18,3
2014,11,19,5
2014,11,20,6
2014,11,21,4
2014,11,22,2
2014,11,23,4
2014,11,24,2
2014,11,25,4
2014,11,26,5
2014,11,27,2
2014,11,28,3
2014,11,29,5
2014,11,30,4
2014,12,1,2
2014,12,2,1
2014,12,3,1
2014,12,4,1
2014,12,5,1
2014,12,6,3
2014,12,7,2
2014,12,8,2
2014,12,9,5
2014,12,10,4
2014,12,11,1
2014,12,12,2
2014,12,13,2
2014,12,14,2
2014,12,15,2
2014,12,16,1
2014,12,17,2
2014,12,18,4
2014,12,19,1
2014,12,20,1
2014,12,21,2
2014,12,22,2
2014,12,23,3
2014,12,24,1
2014,12,25,1
2014,12,26,3
2014,12,27,5
2014,12,28,2
2014,12,29,2
2014,12,30,1
2014,12,31,2
2015,1,1,1
2015,1,2,2
2015,1,3,3
2015,1,4,5
2015,1,5,4
2015,1,6,1
2015,1,7,3
2015,1,8,4
2015,1,9,2
2015,1,10,2
2015,1,11,2
2015,1,12,4
2015,1,13,5
2015,1,14,5
2015,1,15,6
2015,1,16,2
2015,1,17,2
2015,1,18,2
2015,1,19,2
2015,1,20,3
2015,1,21,1
2015,1,22,2
2015,1,23,5
2015,1,24,5
2015,1,25,4
2015,1,26,3
2015,1,27,1
2015,1,28,2
2015,1,29,2
2015,1,30,1
2015,1,31,1
2015,2,1,2
2015,2,2,4
2015,2,3,4
2015,2,4,1
2015,2,5,1
2015,2,6,2
2015,2,7,1
2015,2,8,1
2015,2,9,3
2015,2,10,4
2015,2,11,1
2015,2,12,2
2015,2,13,3
2015,2,14,5
2015,2,15,6
2015,2,16,4
2015,2,17,1
2015,2,18,2
2015,2,19,5
2015,2,20,4
2015,2,21,4
2015,2,22,5
2015,2,23,2
2015,2,24,4
2015,2,25,2
2015,2,26,1
2015,2,27,1
2015,2,28,3
2015,3,1,2
2015,3,2,2
2015,3,3,1
2015,3,4,1
2015,3,5,3
2015,3,6,5
2015,3,7,5
2015,3,8,3
2015,3,9,1
2015,3,10,1
2015,3,11,1
2015,3,12,2
2015,3,13,2
2015,3,14,3
2015,3,15,3
2015,3,16,5
2015,3,17,4
2015,3,18,2
2015,3,19,3
2015,3,20,3
2015,3,21,2
2015,3,22,2
2015,3,23,2
2015,3,24,2
2015,3,25,4
2015,3,26,3
2015,3,27,3
2015,3,28,3
2015,3,29,4
2015,3,30,4
2015,3,31,5
2015,4,1,2
2015,4,2,1
2015,4,3,1
2015,4,4,2
2015,4,5,2
2015,4,6,1
2015,4,7,1
2015,4,8,3
2015,4,9,4
2015,4,10,3
2015,4,11,4
2015,4,12,1
2015,4,13,1
2015,4,14,2
2015,4,15,3
2015,4,16,2
2015,4,17,2
2015,4,18,3
2015,4,19,2
2015,4,20,2
2015,4,21,2
2015,4,22,2
2015,4,23,2
2015,4,24,2
2015,4,25,2
2015,4,26,3
2015,4,27,2
2015,4,28,2
2015,4,29,3
2015,4,30,4
2015,5,1,4
2015,5,2,2
2015,5,3,2
2015,5,4,2
2015,5,5,2
2015,5,6,2
2015,5,7,2
2015,5,8,2
2015,5,9,2
2015,5,10,2
2015,5,11,1
2015,5,12,1
2015,5,13,2
2015,5,14,2
2015,5,15,1
2015,5,16,2
2015,5,17,4
2015,5,18,2
2015,5,19,2
2015,5,20,1
2015,5,21,2
2015,5,22,2
2015,5,23,3
2015,5,24,3
2015,5,25,3
2015,5,26,3
2015,5,27,3
2015,5,28,3
2015,5,29,2
2015,5,30,2
2015,5,31,2
2015,6,1,3
2015,6,2,2
2015,6,3,2
2015,6,4,1
2015,6,5,2
2015,6,6,1
2015,6,7,1
2015,6,8,2
2015,6,9,2
2015,6,10,3
2015,6,11,1
2015,6,12,1
2015,6,13,1
2015,6,14,1
2015,6,15,2
2015,6,16,3
2015,6,17,2
2015,6,18,1
2015,6,19,1
2015,6,20,1
2015,6,21,2
2015,6,22,3
2015,6,23,5
2015,6,24,4
2015,6,25,4
2015,6,26,3
2015,6,27,3
2015,6,28,4
2015,6,29,4
2015,6,30,1
2015,7,1,1
2015,7,2,1
2015,7,3,2
2015,7,4,2
2015,7,5,2
2015,7,6,3
2015,7,7,2
2015,7,8,4
2015,7,9,3
2015,7,10,2
2015,7,11,3
2015,7,12,3
2015,7,13,2
2015,7,14,2
2015,7,15,1
2015,7,16,2
2015,7,17,2
2015,7,18,2
2015,7,19,2
2015,7,20,2
2015,7,21,4
2015,7,22,2
2015,7,23,1
2015,7,24,2
2015,7,25,2
2015,7,26,2
2015,7,27,3
2015,7,28,2
2015,7,29,2
2015,7,30,2
2015,7,31,1
2015,8,1,2
2015,8,2,2
2015,8,3,2
2015,8,4,1
2015,8,5,2
2015,8,6,2
2015,8,7,3
2015,8,8,1
2015,8,9,2
2015,8,10,1
2015,8,11,2
2015,8,12,2
2015,8,13,3
2015,8,14,2
2015,8,15,1
2015,8,16,2
2015,8,17,3
2015,8,18,2
2015,8,19,2
2015,8,20,2
2015,8,21,1
2015,8,22,1
2015,8,23,1
2015,8,24,1
2015,8,25,1
2015,8,26,1
2015,8,27,1
2015,8,28,1
2015,8,29,1
2015,8,30,1
2015,8,31,1
2015,9,1,1
2015,9,2,1
2015,9,3,1
2015,9,4,2
2015,9,5,1
2015,9,6,1
2015,9,7,1
2015,9,8,2
2015,9,9,1
2015,9,10,1
2015,9,11,1
2015,9,12,1
2015,9,13,1
2015,9,14,2
2015,9,15,3
2015,9,16,3
2015,9,17,4
2015,9,18,2
2015,9,19,1
2015,9,20,3
2015,9,21,3
2015,9,22,4
2015,9,23,2
2015,9,24,3
2015,9,25,2
2015,9,26,2
2015,9,27,2
2015,9,28,2
2015,9,29,2
2015,9,30,1
2015,10,1,1
2015,10,2,2
2015,10,3,2
2015,10,4,2
2015,10,5,2
2015,10,6,2
2015,10,7,2
2015,10,8,
2015,10,9,
2015,10,10,1
2015,10,11,1
2015,10,12,2
2015,10,13,2
2015,10,14,2
2015,10,15,2
2015,10,16,4
2015,10,17,5
2015,10,18,1
2015,10,19,2
2015,10,20,2
2015,10,21,2
2015,10,22,1
2015,10,23,2
2015,10,24,2
2015,10,25,2
2015,10,26,2
2015,10,27,1
2015,10,28,1
2015,10,29,1
2015,10,30,1
2015,10,31,2
2015,11,1,2
2015,11,2,2
2015,11,3,4
2015,11,4,5
2015,11,5,4
2015,11,6,2
2015,11,7,2
2015,11,8,2
2015,11,9,3
2015,11,10,3
2015,11,11,2
2015,11,12,3
2015,11,13,5
2015,11,14,5
2015,11,15,5
2015,11,16,2
2015,11,17,2
2015,11,18,2
2015,11,19,2
2015,11,20,2
2015,11,21,2
2015,11,22,2
2015,11,23,1
2015,11,24,2
2015,11,25,2
2015,11,26,1
2015,11,27,3
2015,11,28,5
2015,11,29,5
2015,11,30,5
2015,12,1,6
2015,12,2,1
2015,12,3,1
2015,12,4,1
2015,12,5,2
2015,12,6,3
2015,12,7,5
2015,12,8,5
2015,12,9,5
2015,12,10,3
2015,12,11,2
2015,12,12,3
2015,12,13,4
2015,12,14,3
2015,12,15,1
2015,12,16,1
2015,12,17,2
2015,12,18,2
2015,12,19,3
2015,12,20,5
2015,12,21,5
2015,12,22,5
2015,12,23,5
2015,12,24,3
2015,12,25,6
2015,12,26,6
2015,12,27,2
2015,12,28,3
2015,12,29,5
2015,12,30,2
2015,12,31,2
2016,1,1,4
2016,1,2,5
2016,1,3,5
2016,1,4,1
2016,1,5,1
2016,1,6,1
2016,1,7,1
2016,1,8,1
2016,1,9,2
2016,1,10,3
2016,1,11,1
2016,1,12,1
2016,1,13,1
2016,1,14,2
2016,1,15,3
2016,1,16,4
2016,1,17,2
2016,1,18,1
2016,1,19,2
2016,1,20,3
2016,1,21,3
2016,1,22,1
2016,1,23,1
2016,1,24,2
2016,1,25,1
2016,1,26,2
2016,1,27,3
2016,1,28,3
2016,1,29,3
2016,1,30,2
2016,1,31,1
2016,2,1,1
2016,2,2,1
2016,2,3,2
2016,2,4,1
2016,2,5,1
2016,2,6,1
2016,2,7,2
2016,2,8,4
2016,2,9,2
2016,2,10,2
2016,2,11,5
2016,2,12,4
2016,2,13,1
2016,2,14,1
2016,2,15,2
2016,2,16,1
2016,2,17,2
2016,2,18,1
2016,2,19,1
2016,2,20,1
2016,2,21,2
2016,2,22,2
2016,2,23,1
2016,2,24,2
2016,2,25,2
2016,2,26,2
2016,2,27,2
2016,2,28,2
2016,2,29,2
2016,3,1,3
2016,3,2,4
2016,3,3,5
2016,3,4,6
2016,3,5,4
2016,3,6,3
2016,3,7,2
2016,3,8,1
2016,3,9,1
2016,3,10,2
2016,3,11,1
2016,3,12,3
2016,3,13,1
2016,3,14,2
2016,3,15,3
2016,3,16,5
2016,3,17,6
2016,3,18,4
2016,3,19,2
2016,3,20,2
2016,3,21,3
2016,3,22,3
2016,3,23,1
2016,3,24,1
2016,3,25,1
2016,3,26,1
2016,3,27,1
2016,3,28,3
2016,3,29,1
2016,3,30,2
2016,3,31,3
2016,4,1,3
2016,4,2,1
2016,4,3,1
2016,4,4,2
2016,4,5,3
2016,4,6,3
2016,4,7,2
2016,4,8,2
2016,4,9,3
2016,4,10,3
2016,4,11,2
2016,4,12,2
2016,4,13,3
2016,4,14,2
2016,4,15,2
2016,4,16,2
2016,4,17,1
2016,4,18,1
2016,4,19,2
2016,4,20,3
2016,4,21,2
2016,4,22,1
2016,4,23,2
2016,4,24,3
2016,4,25,3
2016,4,26,3
2016,4,27,3
2016,4,28,3
2016,4,29,4
2016,4,30,4
2016,5,1,5
2016,5,2,2
2016,5,3,2
2016,5,4,2
2016,5,5,2
2016,5,6,2
2016,5,7,1
2016,5,8,2
2016,5,9,2
2016,5,10,2
2016,5,11,5
2016,5,12,1
2016,5,13,1
2016,5,14,1
2016,5,15,1
2016,5,16,1
2016,5,17,2
2016,5,18,2
2016,5,19,3
2016,5,20,3
2016,5,21,2
2016,5,22,2
2016,5,23,2
2016,5,24,1
2016,5,25,1
2016,5,26,2
2016,5,27,2
2016,5,28,2
2016,5,29,1
2016,5,30,2
2016,5,31,2
2016,6,1,2
2016,6,2,3
2016,6,3,3
2016,6,4,3
2016,6,5,3
2016,6,6,2
2016,6,7,2
2016,6,8,3
2016,6,9,3
2016,6,10,2
2016,6,11,1
2016,6,12,2
2016,6,13,1
2016,6,14,1
2016,6,15,1
2016,6,16,1
2016,6,17,1
2016,6,18,2
2016,6,19,2
2016,6,20,3
2016,6,21,2
2016,6,22,2
2016,6,23,2
2016,6,24,1
2016,6,25,1
2016,6,26,2
2016,6,27,2
2016,6,28,2
2016,6,29,3
2016,6,30,2
2016,7,1,1
2016,7,2,1
2016,7,3,2
2016,7,4,4
2016,7,5,3
2016,7,6,2
2016,7,7,3
2016,7,8,3
2016,7,9,2
2016,7,10,3
2016,7,11,2
2016,7,12,1
2016,7,13,1
2016,7,14,2
2016,7,15,1
2016,7,16,1
2016,7,17,2
2016,7,18,3
2016,7,19,2
2016,7,20,1
2016,7,21,1
2016,7,22,2
2016,7,23,3
2016,7,24,1
2016,7,25,1
2016,7,26,1
2016,7,27,1
2016,7,28,1
2016,7,29,3
2016,7,30,3
2016,7,31,2
2016,8,1,2
2016,8,2,1
2016,8,3,1
2016,8,4,2
2016,8,5,2
2016,8,6,3
2016,8,7,1
2016,8,8,1
2016,8,9,2
2016,8,10,2
2016,8,11,3
2016,8,12,2
2016,8,13,1
2016,8,14,1
2016,8,15,1
2016,8,16,1
2016,8,17,2
2016,8,18,2
2016,8,19,1
2016,8,20,2
2016,8,21,2
2016,8,22,2
2016,8,23,2
2016,8,24,2
2016,8,25,1
2016,8,26,1
2016,8,27,1
2016,8,28,1
2016,8,29,1
2016,8,30,1
2016,8,31,1
2016,9,1,1
2016,9,2,1
2016,9,3,1
2016,9,4,3
2016,9,5,1
2016,9,6,1
2016,9,7,2
2016,9,8,2
2016,9,9,1
2016,9,10,1
2016,9,11,1
2016,9,12,1
2016,9,13,3
2016,9,14,3
2016,9,15,1
2016,9,16,3
2016,9,17,1
2016,9,18,1
2016,9,19,1
2016,9,20,1
2016,9,21,2
2016,9,22,3
2016,9,23,3
2016,9,24,2
2016,9,25,4
2016,9,26,2
2016,9,27,1
2016,9,28,1
2016,9,29,2
2016,9,30,3
2016,10,1,5
2016,10,2,5
2016,10,3,4
2016,10,4,1
2016,10,5,2
2016,10,6,2
2016,10,7,2
2016,10,8,1
2016,10,9,2
2016,10,10,2
2016,10,11,3
2016,10,12,3
2016,10,13,4
2016,10,14,5
2016,10,15,5
2016,10,16,4
2016,10,17,2
2016,10,18,4
2016,10,19,5
2016,10,20,3
2016,10,21,2
2016,10,22,1
2016,10,23,2
2016,10,24,2
2016,10,25,3
2016,10,26,2
2016,10,27,2
2016,10,28,1
2016,10,29,1
2016,10,30,2
2016,10,31,1
2016,11,1,2
2016,11,2,2
2016,11,3,4
2016,11,4,5
2016,11,5,5
2016,11,6,2
2016,11,7,1
2016,11,8,2
2016,11,9,4
2016,11,10,4
2016,11,11,2
2016,11,12,3
2016,11,13,3
2016,11,14,2
2016,11,15,2
2016,11,16,3
2016,11,17,4
2016,11,18,5
2016,11,19,3
2016,11,20,2
2016,11,21,1
2016,11,22,1
2016,11,23,1
2016,11,24,2
2016,11,25,4
2016,11,26,5
2016,11,27,2
2016,11,28,2
2016,11,29,3
2016,11,30,3
2016,12,1,1
2016,12,2,3
2016,12,3,4
2016,12,4,4
2016,12,5,2
2016,12,6,2
2016,12,7,3
2016,12,8,3
2016,12,9,1
2016,12,10,2
2016,12,11,4
2016,12,12,5
2016,12,13,3
2016,12,14,1
2016,12,15,1
2016,12,16,2
2016,12,17,4
2016,12,18,5
2016,12,19,5
2016,12,20,6
2016,12,21,6
2016,12,22,2
2016,12,23,1
2016,12,24,4
2016,12,25,4
2016,12,26,2
2016,12,27,2
2016,12,28,2
2016,12,29,1
2016,12,30,3
2016,12,31,5
2017,1,1,6
2017,1,2,5
2017,1,3,5
2017,1,4,5
2017,1,5,5
2017,1,6,5
2017,1,7,5
2017,1,8,1
2017,1,9,1
2017,1,10,1
2017,1,11,2
2017,1,12,1
2017,1,13,1
2017,1,14,1
2017,1,15,2
2017,1,16,3
2017,1,17,4
2017,1,18,2
2017,1,19,2
2017,1,20,1
2017,1,21,1
2017,1,22,1
2017,1,23,2
2017,1,24,3
2017,1,25,5
2017,1,26,4
2017,1,27,2
2017,1,28,6
2017,1,29,2
2017,1,30,1
2017,1,31,2
2017,2,1,1
2017,2,2,2
2017,2,3,3
2017,2,4,5
2017,2,5,1
2017,2,6,1
2017,2,7,3
2017,2,8,1
2017,2,9,1
2017,2,10,1
2017,2,11,1
2017,2,12,2
2017,2,13,2
2017,2,14,5
2017,2,15,5
2017,2,16,3
2017,2,17,1
2017,2,18,2
2017,2,19,3
2017,2,20,1
2017,2,21,2
2017,2,22,3
2017,2,23,1
2017,2,24,1
2017,2,25,1
2017,2,26,2
2017,2,27,2
2017,2,28,1
